,bouts,tvrate,attend,ticketrev,ppv
47255-ufc-218,13,694000,17587,2000000,230000
46805-ufc-216,11,65300,10638,677999,200000
44084-ufc-216,11,418000,16232,2028307,100000
44395-ufc-214,12,886000,16610,2448870,860000
44083-ufc-213,11,657000,12834,2400000,130000
43945-ufc-211,12,1140000,17834,2662645,300000
43812-ufc-210,13,723000,17110,2000000,300000
42699-ufc-210,11,1030000,13150,2385230,300000
42698-ufc-209,10,874000,15628,2275105,200000
41373-ufc-207,10,1510000,18533,4750000,1100000
41371-ufc-206,12,771000,18057,1843101,150000
40792-ufc-204,11,678000,16000,1960000,290000
39739-ufc-202,12,1300000,15539,7692010,1600000
39712-ufc-201,11,331000,10240,1070000,240000
35220-ufc-200,12,1790000,18202,10700000,1009000
38668-ufc-199-rockhold-vs-weidman-2,13,798000,15587,2168675,283000
36847-ufc-198,12,835000,11352,2300000,322000
36627-ufc-197,12,1840000,14898,8100000,1317000
34862-ufc-195-rousey-vs-holm,12,1030000,10300,2003986,230000
34444-ufc-195-aldo-vs-mcgregor,12,1930000,16516,10100000,1200000
31112-ufc-192,12,749000,14622,1859000,250000
33167-ufc-191,11,663000,10873,1362700,115000
26946-ufc-189,11,847000,16019,7200000,825000
29455-ufc-187-aldo-vs-mcgregor,11,780000,12615,5189167,375000
28241-ufc-186,12,710000,10154,668000,125000
28236-ufc-185,12,1000000,17160,2155000,310000
27642-ufc-184-weidman-vs-belfort,11,1200000,17654,2670000,590000
25716-ufc-183-silva-vs-diaz,11,1550000,13114,4500000,650000
23598-ufc-182-pettis-vs-melendez,11,1040000,11575,3700000,800000
22392-ufc-181,11,840000,9617,2488000,400000
22390-ufc-178,11,697000,10544,2200000,205000
24694-ufc-177-jones-vs-gustafsson-2,8,436000,11100,700000,125000
23324-ufc-175,10,1000000,10088,4400000,525000
22389-ufc-174,11,784000,13506,1140000,115000
22469-ufc-173-weidman-vs-belfort,12,697000,11036,1700000,215000
21832-ufc-172-jones-vs-teixeira,10,750000,13485,2300000,350000
21513-ufc-171,13,305000,19324,2600000,300000
21249-ufc-170,11,936000,10217,1558870,340000
20975-ufc-169-jones-vs-teixeira,12,933000,14308,1651000,230000
19667-ufc-168-rousey-vs-tate-2,11,1550000,15650,6238792,1025000
19524-ufc-167-st-pierre-vs-hendricks,12,998000,14856,5759000,630000
19525-ufc-166-velasquez-vs-dos-santos-3,13,628000,17238,2500000,330000
19128-ufc-165,13,722000,15504,1900000,310000
18192-ufc-164,12,809000,9178,907116,270000
17854-ufc-162-silva-vs-weidman,11,1363000,12964,4826000,550000
17939-ufc-161,11,968000,14754,3150000,140000
17129-ufc-158,12,1580000,20145,3710000,950000
16791-ufc-157,12,1300000,13257,1350191,450000
16542-ufc-157,11,1900000,10275,2437150,330000
